,title,date_list,critic_sentiment,critic_score,audience_setiment,audience_score
388,Mothers' Instinct,"Streaming Aug 13, 2024",negative,53%,negative,44%
389,Kingdom of Heaven,"Streaming Sep 18, 2012",negative,39%,positive,72%
390,The Descent,"Streaming Sep 8, 2016",positive,87%,positive,76%
391,The Others,"Streaming Nov 10, 2016",positive,84%,positive,77%
392,Life,"Streaming Jun 2, 2017",positive,68%,negative,55%
393,Poltergeist,"Streaming Apr 1, 2009",positive,88%,positive,79%
394,The Killing of a Sacred Deer,"Streaming Dec 19, 2017",positive,79%,positive,63%
395,Candyman,"Streaming Sep 16, 2021",positive,84%,positive,72%
396,The Ring,"Streaming Oct 4, 2016",positive,71%,negative,48%
397,Goosebumps,"Streaming Jan 10, 2017",positive,78%,positive,62%
398,Where the Crawdads Sing,"Streaming Sep 13, 2022",negative,35%,positive,96%
399,Coherence,"Streaming Nov 16, 2015",positive,89%,positive,81%
400,What Is a Woman?,"Streaming Jun 1, 2022",positive,75%,positive,86%
401,Dinner in America,"Streaming Jun 7, 2022",positive,91%,positive,91%
402,Monster House,"Streaming Jun 5, 2012",positive,74%,positive,64%
403,The Promised Land,"Streaming Feb 23, 2024",positive,97%,positive,95%
404,Argylle,"Streaming Mar 5, 2024",negative,33%,positive,71%
405,No Hard Feelings,"Streaming Aug 15, 2023",positive,70%,positive,87%
406,Donnie Darko,"Streaming Apr 25, 2017",positive,87%,positive,80%
407,Leave No Trace,"Streaming Sep 25, 2018",positive,100%,positive,78%
408,Predestination,"Streaming Jan 2, 2016",positive,84%,positive,75%
409,Knock at the Cabin,"Streaming Feb 21, 2023",positive,68%,positive,63%
410,Top Gun: Maverick,"Streaming Aug 22, 2022",positive,96%,positive,99%
411,1922,"Streaming Oct 20, 2017",positive,92%,negative,58%
412,Glass,"Streaming Apr 2, 2019",negative,37%,positive,66%
413,Fair Play,"Streaming Oct 6, 2023",positive,86%,negative,54%
414,Red Dragon,"Streaming May 8, 2015",positive,69%,positive,74%
415,Avengers: Infinity War,"Streaming Jul 31, 2018",positive,85%,positive,92%
416,Wicked Little Letters,"Streaming May 7, 2024",positive,80%,positive,92%
417,Incantation,"Streaming Jul 8, 2022",positive,77%,positive,64%
418,Bronson,"Streaming Jan 7, 2017",positive,75%,positive,74%
419,Megamind vs. the Doom Syndicate,"Streaming Mar 1, 2024",negative,9%,negative,8%
420,Rebel Moon: Part One - A Child of Fire,"Streaming Dec 21, 2023",negative,22%,negative,56%
421,Halloween III: Season of the Witch,"Streaming Sep 11, 2015",negative,51%,negative,29%
422,All of Us Strangers,"Streaming Feb 22, 2024",positive,96%,positive,91%
423,Edge of Tomorrow,"Streaming Nov 10, 2015",positive,91%,positive,90%
424,Barbie,"Streaming Sep 12, 2023",positive,88%,positive,83%
425,Mission: Impossible - Dead Reckoning Part One,"Streaming Oct 10, 2023",positive,96%,positive,94%
426,A Haunting in Venice,"Streaming Oct 31, 2023",positive,75%,positive,77%
427,Damsel,"Streaming Mar 8, 2024",negative,56%,negative,59%
428,The Jester,"Streaming Oct 3, 2023",negative,25%,negative,26%
429,Aloha,"Streaming Sep 13, 2016",negative,20%,negative,29%
430,The Killer's Game,"Streaming Oct 4, 2024",negative,44%,positive,80%
431,Fight Club,"Streaming Nov 19, 2014",positive,81%,positive,96%
432,Inside Out,"Streaming Nov 3, 2015",positive,98%,positive,89%
433,Knives Out,"Streaming Jun 12, 2020",positive,97%,positive,92%
434,Doctor Strange in the Multiverse of Madness,"Streaming Jun 22, 2022",positive,74%,positive,85%
435,Texas Chainsaw Massacre,"Streaming Feb 18, 2022",negative,30%,negative,25%
436,Young Woman and the Sea,"Streaming Jul 19, 2024",positive,89%,positive,96%
437,Lazareth,"Streaming May 10, 2024",negative,25%,negative,40%
438,Once Upon a Time... In Hollywood,"Streaming Aug 27, 2019",positive,86%,positive,70%
439,Run Rabbit Run,"Streaming Jun 28, 2023",negative,38%,negative,26%
440,Iron Man,"Streaming Mar 1, 2013",positive,94%,positive,91%
441,AfrAId,"Streaming Sep 17, 2024",negative,24%,negative,51%
442,Suicide Squad,"Streaming Nov 15, 2016",negative,26%,negative,58%
443,Whiplash,"Streaming Sep 8, 2016",positive,94%,positive,94%
444,The Conjuring 2,"Streaming Aug 30, 2016",positive,80%,positive,81%
445,Thor: Love and Thunder,"Streaming Sep 8, 2022",positive,63%,positive,76%
446,Shang-Chi and the Legend of the Ten Rings,"Streaming Nov 12, 2021",positive,92%,positive,98%
447,Fear Street Part One: 1994,"Streaming Jul 2, 2021",positive,84%,positive,63%
448,Alien: Covenant,"Streaming Jul 10, 2017",positive,65%,negative,55%
449,Wonka,"Streaming Jan 30, 2024",positive,82%,positive,91%
450,Geostorm,"Streaming Jan 11, 2018",negative,18%,negative,35%
451,Revenge,"Streaming May 13, 2018",positive,92%,negative,59%
452,Reptile,"Streaming Sep 29, 2023",negative,44%,positive,70%
453,Tenet,"Streaming Dec 15, 2020",positive,70%,positive,76%
454,Scream 3,"Streaming May 10, 2016",negative,41%,negative,38%
455,The Boogeyman,"Streaming Aug 29, 2023",positive,61%,positive,66%
456,Spider-Man: Into the Spider-Verse,"Streaming Mar 7, 2019",positive,97%,positive,94%
457,Take Shelter,"Streaming Feb 25, 2014",positive,92%,positive,81%
458,The Strangers,"Streaming Jun 15, 2012",negative,49%,negative,48%
459,The Zone of Interest,"Streaming Feb 20, 2024",positive,93%,positive,78%
460,Perfect Days,"Streaming Mar 5, 2024",positive,96%,positive,90%
461,Twilight,"Streaming Nov 21, 2015",negative,48%,positive,72%
462,The Exorcism,"Streaming Jul 9, 2024",negative,28%,negative,37%
463,La La Land,"Streaming Apr 11, 2017",positive,91%,positive,81%
464,The Front Room,"Streaming Sep 24, 2024",negative,42%,negative,41%
465,Men,"Streaming Aug 9, 2022",positive,69%,negative,39%
466,The Radleys,"Streaming Oct 4, 2024",positive,69%,,
467,Dune,"Streaming Oct 22, 2021",positive,83%,positive,90%
468,Spider-Man: Far From Home,"Streaming Aug 27, 2019",positive,91%,positive,95%
469,Sex and the City 2,"Streaming Jul 1, 2012",negative,16%,negative,43%
470,Casper,"Streaming Sep 2, 2014",negative,52%,negative,50%
471,You're Next,"Streaming Sep 1, 2015",positive,80%,positive,60%
472,12 Angry Men,"Streaming Apr 4, 2012",positive,100%,positive,97%
473,Hundreds of Beavers,"Streaming Apr 15, 2024",positive,97%,positive,85%
474,World War Z,"Streaming Jun 7, 2015",positive,67%,positive,72%
475,Split,"Streaming Apr 5, 2017",positive,79%,positive,79%
476,Titanic,"Streaming Jun 1, 2014",positive,88%,positive,69%
477,The Devil's Climb,"Streaming Oct 18, 2024",,,,
478,Ghostbusters: Afterlife,"Streaming Jan 10, 2022",positive,64%,positive,94%
479,We're All Going to the World's Fair,"Streaming Apr 22, 2022",positive,91%,negative,27%
480,The Gray Man,"Streaming Jul 22, 2022",negative,45%,positive,90%
481,Guy Ritchie's The Covenant,"Streaming May 9, 2023",positive,83%,positive,98%
482,Hush,"Streaming May 23, 2017",positive,93%,positive,73%
483,The Power of the Dog,"Streaming Dec 1, 2021",positive,94%,positive,76%
484,Labor Day,"Streaming Dec 28, 2015",negative,34%,negative,54%
485,A Simple Favor,"Streaming Dec 11, 2018",positive,84%,positive,73%
486,Handling the Undead,"Streaming Jun 18, 2024",positive,75%,negative,48%
487,Amber Alert,"Streaming Sep 27, 2024",negative,57%,positive,68%
488,Fright Night,"Streaming Apr 16, 2012",positive,83%,positive,76%
489,Silent Hill,"Streaming Apr 16, 2012",negative,32%,positive,63%
490,Sisu,"Streaming May 16, 2023",positive,94%,positive,88%
491,Kill,"Streaming Jul 23, 2024",positive,89%,positive,85%
492,Upgrade,"Streaming Aug 14, 2018",positive,88%,positive,88%
493,Spiral: From the Book of Saw,"Streaming Jul 13, 2021",negative,38%,positive,75%
494,The Garfield Movie,"Streaming Jul 9, 2024",negative,37%,positive,80%
495,May December,"Streaming Dec 1, 2023",positive,91%,positive,65%
496,Seven,"Streaming Jul 6, 2010",positive,83%,positive,95%
497,Prometheus,"Streaming Mar 1, 2013",positive,73%,positive,68%
498,The Butterfly Effect,"Streaming Jul 1, 2008",negative,34%,positive,81%
499,Hotel Transylvania,"Streaming Sep 7, 2014",negative,45%,positive,72%
500,Knox Goes Away,"Streaming May 21, 2024",positive,65%,positive,84%
501,Movie 43,"Streaming May 14, 2013",negative,5%,negative,24%
502,Aliens,"Streaming Mar 1, 2013",positive,94%,positive,94%
503,Death Becomes Her,"Streaming Nov 17, 2015",negative,56%,positive,62%
504,Puss in Boots: The Last Wish,"Streaming Jan 6, 2023",positive,95%,positive,94%
505,Green Book,"Streaming Feb 19, 2019",positive,77%,positive,91%
506,Werewolf by Night,"Streaming Oct 7, 2022",positive,90%,positive,89%
507,Lift,"Streaming Jan 12, 2024",negative,30%,negative,32%
508,Nocturnal Animals,"Streaming Feb 7, 2017",positive,74%,positive,73%
509,Knock Knock,"Streaming Jun 11, 2016",negative,37%,negative,19%
510,Ad Astra,"Streaming Sep 20, 2019",positive,83%,negative,40%
511,The Conjuring: The Devil Made Me Do It,"Streaming Jun 4, 2021",negative,56%,positive,83%
512,The Night House,"Streaming Oct 5, 2021",positive,87%,positive,69%
513,The Bad Guys: Haunted Heist,"Streaming Oct 3, 2024",,,,
514,The Dead Don't Hurt,"Streaming Jul 16, 2024",positive,85%,positive,67%
515,Jaws,"Streaming Jul 22, 2015",positive,97%,positive,90%
516,Lake Mungo,"Streaming Mar 23, 2010",positive,95%,positive,62%
517,Night Shift,"Streaming Mar 8, 2024",positive,77%,positive,88%
518,Wallace & Gromit: The Curse of the Were-Rabbit,"Streaming Nov 25, 2015",positive,95%,positive,79%
519,Alien Country,"Streaming Oct 22, 2024",,,,
520,Back to Black,"Streaming Jun 4, 2024",negative,35%,positive,86%
521,The Lord of the Rings: The Fellowship of the Ring,"Streaming Jun 28, 2011",positive,92%,positive,95%
522,Blade Runner 2049,"Streaming Dec 26, 2017",positive,88%,positive,89%
523,Ordinary Angels,"Streaming Mar 26, 2024",positive,84%,positive,99%
524,Forrest Gump,"Streaming Aug 1, 2013",positive,76%,positive,95%
525,Fractured,"Streaming Oct 11, 2019",negative,56%,negative,53%
526,How to Train Your Dragon,"Streaming Nov 25, 2015",positive,99%,positive,91%
527,Pulp Fiction,"Streaming Apr 21, 2016",positive,92%,positive,96%
528,Meet Joe Black,"Streaming Mar 18, 2014",negative,46%,positive,81%
529,Trouble,"Streaming Oct 3, 2024",,,,
530,Sinister 2,"Streaming Aug 16, 2016",negative,14%,negative,31%
531,Suspiria,"Streaming Jan 15, 2019",positive,66%,positive,72%
532,The Wicker Man,"Streaming Oct 6, 2016",positive,91%,positive,82%
533,Toy Story,"Streaming Jan 1, 2014",positive,100%,positive,92%
534,Roald Dahl's The Witches,"Streaming Oct 22, 2020",negative,50%,negative,32%
535,Annabelle,"Streaming Feb 2, 2016",negative,28%,negative,35%
536,Scary Movie V,"Streaming Aug 6, 2013",negative,4%,negative,38%
537,Insidious: The Red Door,"Streaming Aug 1, 2023",negative,40%,positive,69%
538,The Irishman,"Streaming Nov 27, 2019",positive,95%,positive,86%
539,Scooby-Doo,"Streaming Dec 26, 2011",negative,32%,negative,40%
540,Don't Look Up,"Streaming Dec 24, 2021",negative,56%,positive,78%
541,Robot Dreams,"Streaming Sep 10, 2024",positive,98%,positive,89%
542,Ouija: Origin of Evil,"Streaming Jan 11, 2017",positive,83%,negative,58%
543,The Exorcist: Believer,"Streaming Oct 24, 2023",negative,22%,negative,58%
544,Deadpool,"Streaming Apr 21, 2016",positive,85%,positive,90%
545,Interview With the Vampire,"Streaming Aug 15, 2008",positive,63%,positive,86%
546,Transformers,"Streaming Feb 1, 2011",negative,57%,positive,85%
547,The Predator,"Streaming Nov 27, 2018",negative,34%,negative,32%
548,The Circle,"Streaming Jul 17, 2017",negative,15%,negative,21%
549,The Mist,"Streaming Aug 10, 2016",positive,73%,positive,65%
550,Beau Is Afraid,"Streaming Jun 13, 2023",positive,67%,positive,71%
551,Harry Potter and the Sorcerer's Stone,"Streaming Dec 16, 2012",positive,81%,positive,82%
552,Batman v Superman: Dawn of Justice,"Streaming Nov 25, 2016",negative,29%,positive,63%
553,Inception,"Streaming Jun 20, 2013",positive,87%,positive,91%
554,Ghost Game,"Streaming Oct 22, 2024",,,,
555,You Won't Be Alone,"Streaming May 16, 2022",positive,93%,positive,72%
556,Ant-Man and The Wasp: Quantumania,"Streaming Apr 18, 2023",negative,46%,positive,82%
557,Suspiria,"Streaming Jul 13, 2017",positive,94%,positive,83%
558,The Little Things,"Streaming Jan 29, 2021",negative,44%,positive,67%
559,Edward Scissorhands,"Streaming Nov 21, 2014",positive,90%,positive,91%
560,Black Widow,"Streaming Oct 6, 2021",positive,79%,positive,91%
561,Zack Snyder's Justice League,"Streaming Mar 18, 2021",positive,71%,positive,93%
562,Carrie,"Streaming Aug 27, 2015",positive,94%,positive,77%
563,The Ring,"Streaming Oct 21, 2019",positive,98%,positive,81%
564,The Happening,"Streaming Nov 25, 2015",negative,17%,negative,24%
565,The Incredible Hulk,"Streaming Feb 12, 2014",positive,68%,positive,69%
566,Old,"Streaming Oct 4, 2021",negative,50%,negative,53%
567,The Flash,"Streaming Jul 18, 2023",positive,63%,positive,82%
568,Saint Maud,"Streaming Feb 12, 2021",positive,92%,positive,68%
569,Double Blind,"Streaming Feb 13, 2024",positive,100%,positive,71%
570,Good Will Hunting,"Streaming Apr 14, 2016",positive,97%,positive,94%
571,The Day of the Jackal,"Streaming Sep 11, 2015",positive,91%,positive,88%
572,Sleeping Dogs,"Streaming Apr 9, 2024",negative,43%,positive,84%
573,High Life,"Streaming Jun 11, 2019",positive,83%,negative,42%
574,The Iron Claw,"Streaming Feb 13, 2024",positive,89%,positive,94%
575,Night Swim,"Streaming Jan 23, 2024",negative,20%,negative,43%
576,Prospect,"Streaming Mar 8, 2019",positive,89%,positive,73%
577,Road Diary: Bruce Springsteen and The E Street Band,"Streaming Oct 25, 2024",positive,92%,,
578,Avatar: The Way of Water,"Streaming Mar 28, 2023",positive,76%,positive,92%
579,Annihilation,"Streaming Apr 22, 2018",positive,88%,positive,67%
580,Jackpot!,"Streaming Aug 15, 2024",negative,31%,negative,51%
581,A Ghost Story,"Streaming Jul 10, 2017",positive,91%,positive,67%
582,Nosferatu,"Streaming Jul 15, 2008",positive,97%,positive,87%
583,Seth Meyers: Dad Man Walking,"Streaming Oct 26, 2024",,,,
584,Legend,"Streaming Sep 6, 2016",positive,60%,negative,59%
585,The Village,"Streaming Nov 30, 2016",negative,43%,negative,57%
586,Con Job,"Streaming Oct 25, 2024",,,positive,100%
587,All Quiet on the Western Front,"Streaming Oct 28, 2022",positive,90%,positive,90%
588,An American Werewolf in London,"Streaming Oct 13, 2015",positive,89%,positive,85%
589,Call Me by Your Name,"Streaming Feb 23, 2018",positive,95%,positive,86%
590,Countdown,"Streaming Oct 26, 2019",negative,26%,positive,72%
591,Frankenweenie,"Streaming Jan 8, 2014",positive,87%,positive,70%
592,Sicario,"Streaming Dec 22, 2015",positive,92%,positive,85%
593,American Fiction,"Streaming Feb 6, 2024",positive,93%,positive,95%
594,Passengers,"Streaming Mar 14, 2017",negative,30%,positive,63%
595,birth/rebirth,"Streaming Nov 10, 2023",positive,96%,positive,73%
596,Freddy vs. Jason,"Streaming Dec 1, 2012",negative,41%,negative,50%
597,Mad Max: Fury Road,"Streaming Aug 10, 2016",positive,97%,positive,86%
598,Scary Movie 3,"Streaming Oct 8, 2016",negative,35%,negative,54%
599,The House of the Devil,"Streaming Mar 22, 2016",positive,85%,positive,63%
600,The Book of Life,"Streaming Jan 9, 2016",positive,83%,positive,77%
601,Ghostbusters,"Streaming Apr 16, 2012",positive,95%,positive,88%
602,Prisoners,"Streaming May 10, 2015",positive,81%,positive,87%
603,Ghostbusters,"Streaming Oct 11, 2016",positive,74%,negative,49%
604,Paranormal Activity,"Streaming Aug 1, 2013",positive,83%,negative,57%
605,Star Wars: The Last Jedi,"Streaming Mar 11, 2018",positive,91%,negative,41%
606,Lady Bird,"Streaming Feb 13, 2018",positive,99%,positive,79%
607,A Nightmare on Elm Street,"Streaming Jul 1, 2012",negative,14%,negative,43%
608,Spider-Man: Homecoming,"Streaming Jul 10, 2017",positive,92%,positive,87%
609,The Hills Have Eyes,"Streaming Mar 1, 2013",negative,51%,negative,58%
610,mother!,"Streaming Dec 5, 2017",positive,68%,negative,51%
611,Black Panther: Wakanda Forever,"Streaming Feb 1, 2023",positive,84%,positive,94%
612,Let's Get Lost,"Streaming Dec 3, 2013",positive,97%,positive,87%
613,Atlas,"Streaming May 24, 2024",negative,19%,negative,46%
614,The Florida Project,"Streaming Jan 30, 2018",positive,96%,positive,81%
615,Halloween 4: The Return of Michael Myers,"Streaming Feb 17, 2017",negative,39%,negative,53%
616,Falling Stars,"Streaming Oct 11, 2024",positive,80%,,
617,Bokeh,"Streaming Apr 14, 2017",negative,48%,negative,24%
618,First Man,"Streaming Jan 8, 2019",positive,87%,positive,68%
619,Arrival,"Streaming Jan 31, 2017",positive,94%,positive,82%
620,Ghosted,"Streaming Apr 21, 2023",negative,25%,negative,55%
621,Uncharted,"Streaming Apr 26, 2022",negative,41%,positive,89%
622,The Estate,"Streaming Dec 20, 2022",negative,32%,negative,33%
623,Unfrosted,"Streaming May 3, 2024",negative,40%,negative,50%
624,Last Night in Soho,"Streaming Nov 18, 2021",positive,75%,positive,90%
625,Come and See,"Streaming Jan 28, 2015",positive,89%,positive,96%
626,Glass Onion: A Knives Out Mystery,"Streaming Dec 23, 2022",positive,91%,positive,92%
627,Moana,"Streaming Feb 21, 2017",positive,95%,positive,89%
628,Friday the 13th,"Streaming Mar 1, 2011",negative,26%,negative,47%
629,Disturbia,"Streaming Sep 21, 2007",positive,69%,positive,77%
630,Final Destination,"Streaming Apr 26, 2010",negative,36%,positive,68%
631,Halloween H20: 20 Years Later,"Streaming Nov 30, 2016",negative,56%,negative,49%
632,The Suicide Squad,"Streaming Aug 6, 2021",positive,90%,positive,82%
633,The Omen,"Streaming Mar 1, 2017",positive,85%,positive,81%
634,The Number 23,"Streaming Dec 19, 2008",negative,7%,negative,56%
635,Captain Marvel,"Streaming May 28, 2019",positive,79%,negative,45%
636,The Crow,"Streaming Aug 17, 2016",positive,87%,positive,90%
637,Rec,"Streaming Jan 1, 2012",positive,90%,positive,82%
638,V/H/S,"Streaming Dec 5, 2016",negative,56%,negative,41%
639,Blue Beetle,"Streaming Sep 26, 2023",positive,77%,positive,91%
640,The Wonderful Story of Henry Sugar,"Streaming Sep 27, 2023",positive,95%,positive,81%
641,Hellraiser,"Streaming Oct 25, 2016",positive,69%,positive,73%
642,Star Wars: The Rise of Skywalker,"Streaming Dec 20, 2019",negative,51%,positive,86%
643,Things Heard & Seen,"Streaming Apr 29, 2021",negative,38%,negative,23%
644,Emmanuelle,"Streaming Nov 30, 2016",negative,38%,negative,44%
645,The Secret Life of Walter Mitty,"Streaming Sep 30, 2015",negative,52%,positive,71%
646,The Terminator,"Streaming Jul 5, 2015",positive,100%,positive,89%
647,Collateral,"Streaming Aug 1, 2014",positive,86%,positive,84%
648,Humane,"Streaming Jul 26, 2024",positive,70%,negative,36%
649,The Conclave,"Streaming Jun 6, 2017",,,positive,79%
650,We Need to Talk About Kevin,"Streaming Apr 14, 2013",positive,74%,positive,78%
651,The Purge: Election Year,"Streaming Sep 20, 2016",negative,55%,negative,48%
652,The Northman,"Streaming May 13, 2022",positive,90%,positive,64%
653,Indiana Jones and the Dial of Destiny,"Streaming Aug 29, 2023",positive,70%,positive,87%
654,Mandy,"Streaming Sep 14, 2018",positive,90%,positive,68%
655,Apostle,"Streaming Oct 12, 2018",positive,79%,negative,53%
656,Ratatouille,"Streaming Jan 1, 2014",positive,96%,positive,87%
657,"The Good, the Bad and the Ugly","Streaming Aug 27, 2015",positive,97%,positive,97%
