Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Sound Mix,title,Box Office (Gross USA),Aspect Ratio,Rerelease Date (Theaters),Release Date (DVD)
Ben Lewin,"Philip Wade,Judi Levine,Arabella Page Croft","Ben Lewin,Allen Palmer",IFC Films,"Southern Light Films,Such Much Films,Black Camel Pictures,5 Name Films,Particular Crowd",,"Romance,Comedy",English,"Oct 1, 2021, Limited","Oct 1, 2021",1h 45m,,Falling for Figaro,$35.8K,,,
James Seale,"Neil Elman,James Seale","Neil Elman,James Seale",,E5 Films LLC,R (Language|Violence/Terror),Mystery & Thriller,English,"Aug 2, 2005, Original","Dec 9, 2009",1h 26m,,No Way Up,,,,
Alex Hardcastle,"Chris Bender,Timothy M. Bourne,Todd Garner,Rebel Wilson","Brandon Scott Jones,Andrew Knauer,Arthur Pielli",,"Paramount Players,Broken Road Productions,Paramount Pictures,CBS Films",R (Brief Teen Drinking/Drug Use|Sexual Material|Language),Comedy,English,,"May 13, 2022",1h 52m,Dolby Digital,Senior Year,,,,
Tiziana Bosco,"Fabio Teriaca,Rosario Lizzio",Tiziana Bosco,,"Dream Film,Ila Palma",,"Crime,Drama",Italian,,"May 29, 2020",1h 23m,,The Wait,,,,
"Michael Toledano,Brenda Michell,Jennifer Wickham","Brenda Michell,Bob Moore,Michael Toledano,Jennifer Wickham",,Netflix,Yintah Film,R (Language),Documentary,English,"Sep 13, 2024, Limited","Oct 18, 2024",2h 5m,,Yintah,,Flat (1.85:1),,
Jennifer Kaytin Robinson,"Anthony Bregman,Peter Cron,Jennifer Kaytin Robinson","Celeste Ballard,Jennifer Kaytin Robinson",,Likely Story,,"Comedy,Mystery & Thriller",English,,"Sep 16, 2022",1h 58m,,Do Revenge,,,,
Curt Worden,"Gloria Bailen,Jim Sampas",,,,,Documentary,English,"Oct 16, 2009, Limited",,1h 37m,,One Fast Move,,,,
Honey Trehan,"Abhishek Chaubey,Ronnie Screwvala",Smita Singh,,RSVP Movies,,"Crime,Drama,Mystery & Thriller",Hindi,,"Jul 31, 2020",2h 30m,,Raat Akeli Hai,,,,
Kim Jee-woon,"Oh Ki-min,Kim Yeong",Kim Jee-woon,,"Bom Film Productions ,Masulpiri Pictures",R (Some Violence|Disturbing Images),"Horror,Mystery & Thriller",Korean,,"Apr 6, 2020",1h 54m,,A Tale of Two Sisters,,,,
Kieron Moore,"Kieron Moore,Pete Tomkies",Kieron Moore,Bohemia Media,Weird Rainbow Films,,"Comedy,LGBTQ+",English,,"Oct 28, 2024",1h 15m,,Secrets of a Wallaby Boy,,,,
Luis Javier Henaine,"Pablo Zimbrón Alva,Luis Javier Henaine,Gerardo Gatica González","Ricardo Aguado-Fentanes,Luis Javier Henaine",Netflix,"Moonlight Pictures,Varios Lobos,Panorama Global",,"Horror,Mystery & Thriller",Spanish,,"Apr 12, 2024",1h 43m,,Disappear Completely,,,,
Quoc Bao Tran,"Michael Velasquez,Yuji Okumoto,Al'n Duong,Dan Gildark,Quoc Bao Tran",Quoc Bao Tran,Well Go USA Entertainment,"Beimo Films,Persistence of Vision Films (I)",PG-13 (Offensive Slurs|Violence|Some Strong Language),"Action,Comedy",English,"May 7, 2021, Limited","May 7, 2021",1h 48m,Dolby Digital,The Paper Tigers,$112.7K,,,
Tim Hill,Ryan Harris,Tim Hill,,"Netflix,United Plankton Pictures,Paramount Animation,Media Rights Capital (MRC),Nickelodeon Movies,Nickelodeon Animation Studios",PG (Rude Humor|Mild Language|Some Thematic Elements),"Kids & Family,Comedy,Adventure,Animation",English,,"Mar 4, 2021",1h 31m,"DTS,Dolby Digital,Dolby Atmos",The SpongeBob Movie: Sponge on the Run,$4.5M,Flat (1.85:1),,
Małgorzata Szumowska,"Naomi Watts,Peter Sobiloff,Mike Sobiloff,Trudie Styler,Celine Rattray,Jenny Halper",Joshua Rollins,Bleecker Street,"Studio Orka,Maven Screen Media,JamTart Productions,Off Media",R (Some Language|Brief Nudity),"Adventure,Drama,Mystery & Thriller",English,"Mar 25, 2022, Wide","Apr 12, 2022",1h 38m,,Infinite Storm,$1.6M,,,
Giuseppe Capotondi,"David Zander,William Horberg,David Lancaster",Scott B. Smith,Sony Pictures Classics,"Indiana Production Company,Rumble Films",R (Language|Drug Use|Some Sexual Content/Nudity|Violence),Mystery & Thriller,English,"Mar 6, 2020, Limited","Aug 6, 2020",1h 39m,,The Burnt Orange Heresy,$143.8K,,"Aug 7, 2020",
Brendan Rudnicki,Brendan Rudnicki,"Brendan Rudnicki,Kellan Rudnicki,Ciara Wojtala",,"DBS Publishing,DBS Films Orlando",,"Mystery & Thriller,Drama,Horror",English,,"Jan 18, 2024",1h 15m,,A Cold Grave,,,,
Euros Lyn,"Katherine Butler,Tracy O'Riordan",Neil McKay,Bleecker Street - Topic Studios,"Popara Films,Ffilm Cymru Wales ,Ingenious Media,Film4,Raw",PG (Language and Thematic Elements),"Comedy,Drama",English,"May 21, 2021, Wide","Jun 11, 2021",1h 53m,,Dream Horse,$2.6M,Scope (2.35:1),,
Anthony Jerjen,"Michel Merkt,Benito Mueller",Andrew Crabtree,Lionsgate Films,"Barry Films,Tycor International Film Company",R (Violence|Pervasive Language|Drug Content),"Mystery & Thriller,Crime,Drama",English,"Jan 10, 2020, Limited","Jan 10, 2020",1h 30m,,Inherit the Viper,,Scope (2.35:1),,
Shana Feste,"Shana Feste,Effie Brown,Jason Blum,Brian Kavanaugh-Jones","Shana Feste,Keith Josef Adkins,Kellee Terrell",,"Quiet Girl Productions,Automatik Entertainment,Gamechanger Films,Blumhouse Productions,Stuck On On",R (Horror Violence|Brief Nudity|Bloody Images|Language|Some Sexual References),"Horror,Mystery & Thriller",English,,"Oct 28, 2022",1h 43m,,Run Sweetheart Run,,Digital 2.39:1,,
Ariel Vida,"Jane Badler,Sean E. DeMott,Paul Holbrook,Aaron B. Koontz","David Blair,Ariel Vida",Blue Harbor Entertainment,"Paper Street Pictures,Execution Style Entertainment,MeJane Productions,Hlbrk Ent",,"Horror,Mystery & Thriller",English,"Jun 7, 2024, Limited","Jun 7, 2024",1h 41m,,Trim Season,,,,
Marco Petry,"Marcus Welke,Hannah Leuze","Claudius Pläging,Andrej Sorin",Netflix,W&B Television,,Comedy,German,,"Jul 12, 2024",1h 32m,,Blame the Game,,,,
"Adam Patterson,Declan Lawn","Kitty Kaletsky,James Norton,Robert Taylor,Gina Carter,Michael Bronner,Herbert Kloiber","Michael Bronner,Adam Patterson,Declan Lawn",IFC Films,"The Development Partnership,Rabbit Track Pictures,Anhinga Media,Night Train Media,Great Point Media,Split Prism Media",,"Crime,Drama,Mystery & Thriller",English,"Aug 12, 2022, Limited","Aug 12, 2022",1h 56m,,Rogue Agent,,,,
Pedro Almodóvar,"Agustín Almodóvar,Pedro Almodóvar",Pedro Almodóvar,Sony Pictures Classics,"Canal+ España,El Deseo S.A.,Televisión Española (TVE)",NC-17 (Explicit Sexual Content),"Drama,Crime,LGBTQ+",European Spanish,"Mar 19, 2004, Original","Jan 25, 2015",1h 44m,"Surround,Dolby Digital",Bad Education,$5.2M,,,
Alice Englert,"Desray Armstrong,Molly Hallam",Alice Englert,Gravitas Ventures,"Bee-Hive Productions,New Zealand Film Commission,Badly Behaved Babes,New Zealand Screen Production Grant,Ask Me About My Films,Sandy Lane Productions,Fulcrum Media Finance,CAA Media Finance",,"Comedy,Drama",English,"Jun 14, 2024, Limited","Jun 14, 2024",1h 47m,Dolby Digital,Bad Behaviour,,Scope (2.35:1),,
Michael Powell,Joe Rock,Michael Powell,"BuyIndies.com Inc.,Reel Media International [us],Pax Films Inc.",Joe Rock Productions,,Drama,British English,"Sep 9, 1938, Wide","Nov 17, 2018",1h 20m,Mono,Edge of the World,,Flat (1.37:1),,
Lucy Walker,"Dalia Burde,Charlie Corwin,Christopher Newman,Michael D. Ratner,Miranda Sherman",,Netflix,"Makemake,SK Global,Avocados & Coconuts,OBB Pictures",R (Some Language),Documentary,English,"Jul 26, 2024, Limited","Jul 31, 2024",1h 45m,,Mountain Queen: The Summits of Lhakpa Sherpa,,,,
John Stalberg Jr.,"David Frigerio,John Stalberg Jr.,Ford Corbett,Tim O'Hair,B.D. Gunnell,Nathan Klingher,Ryan Winterstern",Carlyle Eubank,RLJE Films,"Studio 507,Slow Burn,Highland Film Group (HFG),Broken Open Pictures",,"Action,Crime,Drama",English,"Sep 29, 2023, Limited","Sep 29, 2023",1h 36m,,Muzzle,$5.0K,,,
John Patrick Shanley,"Anthony Bregman,Bradley Gallo,Michael A. Helfant,Martina Niland,Leslie Urdang,Alex Witchel",John Patrick Shanley,Bleecker Street Media,"Sea Around Us,Mar-Key Pictures,Amasia Entertainment,Likely Story,Aperture Media Partners,Port Pictures",PG-13 (Suggestive Comments|Some Thematic Elements),"Romance,Comedy",English,"Dec 11, 2020, Limited","Dec 11, 2020",1h 42m,,Wild Mountain Thyme,$194.9K,,,
Brenda Chapman,"Leesa Kahn,Andrea Keir,David Oyelowo,Steve Richards,James Spring",Marissa Kate Goodhill,Relativity Media,"Creasun Entertainment,Lakeview Entertainment (II),Fred Films,Hammerstone Studios,Yoruba Saxon Productions,Endurance Media,TinRes Entertainment,ACE Pictures Entertainment",PG (Some Violence|Fantasy Action|Strong Thematic Content|Unsettling Images),"Kids & Family,Adventure,Fantasy",English,"Nov 13, 2020, Wide","Nov 11, 2020",1h 34m,,Come Away,$106.1K,Scope (2.35:1),,
Sara Dosa,"Shane Boris,Ina Fichman,Sara Dosa",,NEON,Sandbox Films,PG (Thematic Material|Some Unsettling Images|Brief Smoking),"Documentary,Biography",Canadian French,"Jul 6, 2022, Limited","Nov 11, 2022",1h 33m,,Fire of Love,$1.1M,,,
Jeffrey Darling,"Marc Benardout,Hugh Broder,James Harris,Jeremy L. Kotin,Mark Lane",Evan M. Wiener,Vertical,"Mister Smith Entertainment,Head Gear Films,Tea Shop Productions",,"Mystery & Thriller,Crime,Drama",English,"Jan 5, 2024, Limited","Jan 12, 2024",1h 35m,,He Went That Way,,,,
Jonah Feingold,"Richard Alan Reid,Michael Philip,Jason Moring",Dan Steele,Freevee,BuzzFeed Studios,PG-13 (Drug Content|Some Language|Sexual Material),"Holiday,Romance,Comedy",English,,"Nov 17, 2023",1h 33m,,EXmas,,,,
Henry Roosevelt,Caitlin Keating,,Netflix,Story Syndicate,,Documentary,English,,"Jun 19, 2023",1h 43m,,Take Care of Maya,,,,
Myles Clohessy,"Myles Clohessy,Ramsey K. Heitmann,Ante Novakovic,Jared Safier,Rob Simmons,Antony Ware","Myles Clohessy,Emma Harrell,Phil Harrell",Showtime,"Novakovic Bros.,Barefoot Kid Productions,JARS Productions,Ident Films,Safier Entertainment",,"Horror,Mystery & Thriller",English,,"Jun 1, 2023",1h 22m,,Fire Island,,,,
Audrey Diwan,"Alice Girard,Edouard Weil","Marcia Romano,Audrey Diwan,Annie Ernaux",IFC Films,"Srab Films,Rectangle Productions,Wild Bunch,France 3 Cinéma",R (Graphic Nudity|Disturbing Material/Images|Sexual Content),Drama,French (France),"May 6, 2022, Limited","Jun 21, 2022",1h 40m,,Happening,$180.1K,Flat (1.37:1),,
Mitch Jenkins,"Michael Dobbin,Christopher Hamilton,Eva Lewucha,Charles Meunier","Michael Dobbin,Guillaume Fradin",Freestyle Digital Media,"Peardrop Productions,Plan Nine Pictures",,Sci-Fi,British English,,"Oct 4, 2024",1h 23m,,A Million Days,,,,
Andrew Fitzgerald,"Andrew Fitzgerald,Gary B. Haley,Kevin Provost,Thomas Rundo",Andrew Fitzgerald,Premiere Digital,New Dawn Films,,"Drama,Mystery & Thriller,Horror",English,,"Jun 7, 2024",1h 39m,,An Angry Boy,,,,
Joe Rock,Joe Rock,Tay Garnett,,"Joe Rock Comedies,Standard Photoplay Company",,Comedy,,,"Apr 17, 2020",20m,,Detained,,,,
Luke Sparke,,Luke Sparke,Saban Films,Occupation Two Productions,R (Language),"Sci-Fi,Action",Australian English,"Jun 11, 2021, Limited","Jun 11, 2021",2h 8m,Dolby Atmos,Occupation: Rainfall,,Scope (2.35:1),,
Tony Cervone,"Pam Coats,Allison Abbate","Adam Sztykiel,Jack Donaldson,Derek Elliott,Matt Lieberman",,"Warner Animation Group,1492 Pictures,Atlas Entertainment",PG (Rude/Suggestive Humor|Language|Some Action),"Kids & Family,Comedy,Adventure,Animation",English,,"May 15, 2020",1h 34m,Dolby,SCOOB!,,Scope (2.35:1),,
Ignacio Tatay,"Ignacio Salazar-Simpson,Ricardo Marco Budé,Carolina Bang,Alex de la Iglesia","Isabel Peña,Ignacio Tatay",,Pokeepsie Films,,"Horror,Mystery & Thriller",European Spanish,,"Oct 24, 2022",1h 46m,,The Chalk Line,,,,
Helena Coan,"Matthew Metcalfe,Tom Blackwell","Matthew Metcalfe,Tom Blackwell,Helena Coan",Brainstorm Media,Ingenious Media,,"Documentary,Crime",English,"Mar 29, 2024, Limited","Mar 29, 2024",1h 28m,,The Lie: The Murder of Grace Millane,,,,
Dave Franco,"Marty Bowen,Wyck Godfrey,Michael Heimler,Leigh Kittay,Isaac Klausner,Ben Stillman","Dave Franco,Alison Brie",,"Amazon Studios,Temple Hill Entertainment,Black Bear Pictures",R,"Romance,Comedy",English,,"Feb 10, 2023",1h 46m,,Somebody I Used To Know,,,,
Rob Savage,"Jason Blum,Douglas Cox",Rob Savage,Momentum Pictures,"Blumhouse Productions,Shadowhouse Films",R (Pervasive Language|Crude Sexual References|Bloody Violence),Horror,English,"Jun 3, 2022, Limited","Jun 3, 2022",1h 17m,,DASHCAM,,,,
Francis Annan,"David Barron,Neal H. Moritz,Toru Nakahara","Francis Annan,L.H. Adams",Momentum Pictures,"Arclight Films,Premiere Picture,Spier Films",PG-13 (Some Disturbing Material|Language|Violence),"Mystery & Thriller,Drama",British English,"Mar 6, 2020, Limited","Mar 6, 2020",1h 41m,,Escape From Pretoria,,,,
Mitja Okorn,"Marc Bienstock,Clarence Hammond,Caleeb Pinkett","Jeffrey Addiss,Will Matthews",,Overbrook Entertainment,PG-13 (Sexual Material|Language|Drug Content|Thematic Elements),"Drama,Romance",English,,"Dec 1, 2020",1h 47m,,Life in a Year,,Scope (2.35:1),,
Rick Johnson,Molly M. Mayeux,Jon Lucas,,Dahlia Street Films,PG-13,Drama,English,,,1h 40m,,Rustin,,,,"Sep 30, 2003"
Kris Pearn,,Kris Pearn,,"BRON Studios,Creative Wealth Media Finance",PG (Rude Humor|Some Thematic Elements),"Kids & Family,Comedy,Animation",English,,"Apr 22, 2020",1h 32m,,The Willoughbys,,Scope (2.35:1),,
Mehdi Avaz,"Mehdi Avaz,Puk Lodahl Eisenhardt",Mehdi Avaz,,"Rocket Road Pictures,SF Studios",,"Romance,Drama",Danish,,"May 18, 2022",1h 30m,,Toscana,,,,
Laura Terruso,"Alicia Keys,Elysa Koplovitz Dutton,Leslie Morgenstein",Alison Peck,,"Alloy Entertainment,STX Films",,"Musical,Comedy",English,,"Aug 8, 2020",1h 33m,,Work It,,,,
Ji Woo Chung,,Ji Woo Chung,,,,Drama,Korean,,,1h 56m,,Close to You,,,"Feb 18, 2006",
James Rouse,"Benjamin Howell,Alexander Melman,Robert Campbell,Elli Gharbi",Torben Betts,,,,"Comedy,Drama",English,,,1h 38m,,Downhill,,,,
Israel Adrián Caetano,,Israel Adrián Caetano,,"La Expresión del Deseo,Trailer Films,SKA Films",,"Mystery & Thriller,Drama",Spanish,,"Oct 5, 2022",1h 32m,,Togo,,,,
David Lewis,"Frazer Bradshaw,Charles Grande,David Lewis,Matthew Montgomery",David Lewis,One Tree Entertainment,Peculiar Película,,"Comedy,Romance,LGBTQ+",English,"Jun 18, 2022, Limited","Oct 1, 2024",1h 16m,,All Kinds of Love,,,,
Errol Morris,"Errol Morris,Steven Hathaway,Stephen Cornwell,Dominic Crossley-Holland,Simon Cornwell",Errol Morris,Apple Original Films,"Storyteller Productions,Hero Squared,127 Wall,Fourth Floor Productions,The Ink Factory,Apple Original Films,Jago Films",PG-13 (Brief Language|Some Violence|Smoking),Documentary,English,"Oct 20, 2023, Limited","Oct 20, 2023",1h 34m,,The Pigeon Tunnel,,,,
Dave Meyers,Nathan Scherrer,"Jennifer Lopez,Matt Walton",Amazon MGM Studios,"Nuyorican Productions,Amazon MGM Studios",,Musical,English,,"Feb 16, 2024",1h 5m,,This Is Me... Now: A Love Story,,,,
Walt Dohrn,Gina Shay,"Jonathan Aibel,Glenn Berger,Maya Forbes,Wallace Wolodarsky,Elizabeth Tippet",Universal Pictures,"DreamWorks Animation,Dentsu",PG (Some Mild Rude Humor),"Kids & Family,Musical,Comedy,Adventure,Fantasy,Animation",English,"Apr 10, 2020, Limited","Apr 2, 2020",1h 31m,Dolby Digital,Trolls World Tour,,Digital 2.39:1,,
Ethan Stephens,,Ethan Stephens,,Progressing Productions,,Action,English,,"Dec 18, 2019",1h 35m,,Assassin,,,,
James D. Davis,,Fred Myers,,Snub Pollard Comedies,,Comedy,,"Nov 22, 1926, Limited",,20m,,Fire,,Academy (1.33:1),,
Mark Steven Johnson,"Rachael Leigh Cook,Margret H. Huddleston,Stephanie Slack,Dave Jordan,Dan Spilo","Hilary Galanoy,Elizabeth Hackett",,Off Camera Entertainment,,"Romance,Comedy",English,,"Sep 3, 2020",1h 30m,,"Love, Guaranteed",,,,
Matthew Heineman,"Matthew Heineman,Lauren Domino,Joedan Okun",,Netflix,"Higher Ground Productions,Our Time Projects,Mercury Studios",PG-13 (Some Strong Language),"Documentary,Music",English,"Nov 24, 2023, Limited","Nov 29, 2023",1h 40m,Dolby Digital,American Symphony,,,,
Adam Anders,"Brandt Andersen,Adam Anders,Ryan Busse,Stephen Meinen,Alan Powell,Steve Barnett","Adam Anders,Peter Barsocchini",Affirm Films,"SPACE + ART Entertainment,Affirm Films,Monarch Media,Anders Media,Story Collective",PG,"Kids & Family,Holiday,Musical",English,"Nov 10, 2023, Wide","Dec 8, 2023",1h 38m,,Journey to Bethlehem,$6.8M,,,
Luke Lorentzen,"Kellen Quinn,Daniela Alatorre",Luke Lorentzen,1091,"Hedgehog Films,No Ficción",,"Documentary,Action,Crime,Drama",Spanish,"Dec 6, 2019, Limited","Mar 3, 2020",1h 21m,,Midnight Family,$40.5K,,,
Matt Greene-DeLanghe,"Jason Armstrong,Rob Goodrich,Ellyn Vander Wyden",Matt Greene-DeLanghe,Deep C Digital,Walk Like a Duck Entertainment,,Drama,English,,"May 7, 2024",1h 25m,,Skelly,,,,
Jeff Wadlow,"Rick Alvarez,Nathan Talbert Reimann,Marlon Wayans","Todd Berger,Robert Rugan,John R. Morey",Netflix,Ugly Baby Productions,,"Kids & Family,Holiday,Comedy",English,,"Oct 14, 2022",1h 29m,,The Curse of Bridge Hollow,,,,
James Bird,"Steven Paul,Scott Karol,Christine Holder,Mark Holder",James Bird,Paramount Pictures,"SP Media Group,Wonder Street",R (Sexual Content|Nudity|Language|Violence),"Sci-Fi,Mystery & Thriller",English,"Aug 12, 2022, Limited","Aug 12, 2022",1h 46m,,Wifelike,,,,
"Conrad Vernon,Greg Tiernan","Gail Berman,Conrad Vernon,Alex Schwartz,Alison O'Brien",Matt Lieberman,Metro-Goldwyn-Mayer,"Metro Goldwyn Mayer,BermanBraun",PG (Some Action|Macabre and Suggestive Humor),"Kids & Family,Comedy,Animation",English,"Oct 11, 2019, Wide","Oct 11, 2019",1h 27m,Dolby Atmos,The Addams Family 2,$673.0K,Flat (1.85:1),,
Janus Metz,"Steve Schwartz,Paula Mae Schwartz,Nick Wechsler,Matt Jackson",Olen Steinhauer,Amazon Studios,"Entertainment One,Big Indie Pictures,Jackson Pictures,The Mark Gordon Company,Barry Linen Motion Pictures,Nick Wechsler Productions,Amazon Studios,Chockstone Pictures,Churchill Films",R,Mystery & Thriller,English,"Apr 8, 2022, Limited","Apr 8, 2022",1h 41m,,All the Old Knives,,,,
Toby Meakins,"John Zois,Sébastien Raybaud,Matthew James Wilkinson",Simon Allen,,"Anton,Stigma Films",,"Horror,Mystery & Thriller",English,,"Apr 15, 2022",1h 25m,Dolby Digital,Choose or Die,,Scope (2.35:1),,
Jen Zaborowski,,Heather McMahan,Hulu,,,"Comedy,Stand-Up",English,,"Oct 11, 2024",1h 4m,,Heather McMahan: Breadwinner,,,,
Bo Burnham,Josh Senior,Bo Burnham,,,,"Comedy,Stand-Up",English,,"May 30, 2021",1h 27m,,Bo Burnham: Inside,,,,
Lou Jeunet,"Olivier Delbosc,Christine De Jekel,Emilien Bignon","Lou Jeunet,Raphaëlle Desplechin",Film Movement,"Curiosa Films,Playtime",,"History,Drama",French (France),"Aug 13, 2021, Limited","Aug 13, 2021",1h 47m,,Curiosa,,,,
,,,Netflix,,,"Comedy,Stand-Up",English,,"Aug 3, 2024",,,Joe Rogan: Burn the Boats,,,,
"Pippa Ehrlich,James Reed",Craig Foster,"Pippa Ehrlich,James Reed",,"A Netflix Original Documentary,The Sea Change Project,Off the Fence",,Documentary,English,,"Sep 7, 2020",1h 25m,,My Octopus Teacher,,,,
John Schmidt,John Shepherd,"Robert Pierce,Patrick Egan",,Dean River Productions,PG,Drama,English,,"Jan 6, 2019",1h 38m,,The Climb,$78.7K,,,
Elegance Bratton,"Chester Algernal Gordon,Effie Brown",Elegance Bratton,A24,"Freedom Principle,Doco Digital,Gamechanger Films",R (Sexual Content|Language Throughout|Some Nudity|Violence),"Drama,LGBTQ+",English,"Dec 2, 2022, Wide","Dec 22, 2022",1h 34m,,The Inspection,$261.0K,,,
Iván Noel,Iván Noel,"Iván Noel,Henry James",,Noel Films,,Horror,Spanish,,,1h 55m,,The Tutor,,,,
Lena Dunham,"Tim Bevan,Eric Fellner,Jo Wallett",Lena Dunham,Amazon Studios,"Good Thing Going,Working Title Films",PG-13,"Adventure,Comedy,Drama",English,"Sep 23, 2022, Limited","Oct 7, 2022",1h 48m,,Catherine Called Birdy,,,,
Luke Cormican,Jeff Kinney,Jeff Kinney,Disney+,"Bardel Entertainment,Twentieth Century Animation,Walt Disney Pictures",PG (Mild Rude Humor),"Kids & Family,Holiday,Comedy,Animation,Drama",English,,"Dec 8, 2023",1h 4m,Dolby Digital,Diary of a Wimpy Kid Christmas: Cabin Fever,,,,
"Quentin Tarantino,Robert Rodriguez","Robert Rodriguez,Quentin Tarantino,Elizabeth Avellan,Erica Steinberg","Quentin Tarantino,Robert Rodriguez",Weinstein Co.,"A Band Apart,Troublemaker Studios,Weinstein Company",R (Gore|Drug Use|Strong Graphic Bloody Violence|Nudity|Pervasive Language|Some Sexuality),"Action,Horror",English,"Apr 6, 2007, Wide","May 2, 2021",3h 11m,"Dolby SRD,DTS,SDDS",Grindhouse,$25.0M,Scope (2.35:1),,
Renny Harlin,"Mansoor Al Dhaheri,Kia Jam,Dean Altit","Kurt Wimmer,Robert Henny",The Avenue,"The Misfits Project,K. JAM Media ,RNG Entertainment,FilmGate Productions,Highland Film Group (HFG)",R (Sexual References|Brief Drug Use|Some Language),"Action,Mystery & Thriller",English,"Jun 11, 2021, Limited","Jun 15, 2021",1h 34m,,The Misfits,,,,
T.W. Peacocke,David Anselmo,Cara J. Russell,,"Hideaway Pictures,Motion Picture Corporation of America (MPCA),Hp Catering Christmas Productions",,"Holiday,Romance,Comedy",English,,"Nov 1, 2022",1h 25m,,Catering Christmas,,,,
Todd Haynes,"Christine Vachon,Lauren Zalaznick",Todd Haynes,"Sony Pictures Classics,Columbia Tristar,Columbia TriStar Home Video","Killer Films,Good Machine,American Playhouse Theatrical Films,American Playhouse",R,Drama,English,"Jun 23, 1995, Original","May 16, 2020",1h 59m,,Safe,$15.8K,,,
Joe Begos,"Joe Begos,Josh Ethier",Joe Begos,Shudder / RLJE Films,Channel 83 Films,,"Holiday,Horror,Mystery & Thriller",English,"Dec 9, 2022, Limited","Dec 9, 2022",1h 27m,,Christmas Bloody Christmas,$251.6K,Scope (2.35:1),,
